"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14"
"2471";50;4;20179;14;1;1;3;1;1;0;0;40;1;2
"2472";24;1;311376;13;3;6;4;1;0;0;0;40;1;1
"2473";30;1;432565;11;1;1;5;1;0;0;0;40;5;2
"2474";39;3;329980;13;1;4;3;1;1;0;2415;60;1;2
"2475";29;2;125190;9;1;2;3;1;1;0;0;40;1;1
"2476";23;1;342946;7;3;11;2;1;0;0;0;38;1;1
"2477";21;NA;219835;11;3;NA;4;1;1;0;0;40;1;1
"2478";32;1;123429;6;4;2;4;1;1;0;0;40;1;1
"2479";69;3;69209;13;1;8;3;1;1;3818;0;30;1;1
"2480";55;1;66356;9;4;7;6;1;1;0;0;40;1;1
"2481";41;1;195897;10;1;4;3;1;1;0;0;50;1;1
"2482";44;3;153132;13;1;5;3;1;1;7688;0;52;1;2
"2483";18;1;230875;7;3;9;4;1;1;0;0;40;1;1
"2484";74;2;92298;13;1;5;3;1;1;0;0;10;1;1
"2485";40;1;185145;16;1;6;3;1;1;0;0;40;1;2
"2486";27;1;297296;9;1;2;3;1;1;0;0;40;1;1
"2487";75;NA;164849;5;1;NA;3;5;1;1409;0;5;1;1
"2488";55;1;145214;9;2;9;4;1;0;0;0;40;1;1
"2489";52;2;242341;4;1;2;3;3;1;0;0;40;1;1
"2490";54;1;240542;10;2;4;6;1;0;0;0;48;1;1
"2491";36;1;104772;9;2;2;6;1;1;0;0;48;1;1
"2492";76;NA;152802;10;1;NA;3;1;1;0;0;8;1;1
"2493";26;1;181666;9;3;7;2;1;0;0;0;40;1;1
"2494";18;1;415520;7;3;2;2;1;1;0;0;20;1;1
"2495";38;1;258761;9;2;5;4;1;1;0;0;50;1;1
"2496";50;1;88842;13;1;11;3;1;1;7298;0;40;1;2
"2497";19;NA;356717;10;3;NA;2;1;0;0;0;25;1;1
"2498";32;1;158438;10;1;5;3;1;1;0;0;60;1;2
"2499";57;1;206206;13;1;4;3;1;1;0;0;40;1;2
"2500";20;1;51816;9;3;13;2;5;1;0;0;40;1;1
"2501";27;1;253814;10;3;9;4;1;0;0;0;40;1;1
"2502";31;2;161745;13;6;5;4;1;1;0;1980;60;1;1
"2503";60;1;162947;3;2;8;4;1;0;0;0;40;4;1
"2504";52;1;163027;9;2;2;6;1;0;0;0;50;1;1
"2505";61;1;146788;4;1;11;3;1;1;0;0;40;1;1
"2506";57;2;73309;9;5;2;4;1;1;0;0;55;1;2
"2507";19;NA;143867;10;3;NA;2;1;1;0;0;40;1;1
"2508";59;2;104216;15;1;4;3;1;1;0;0;25;1;1
"2509";34;2;345705;9;3;2;4;1;1;0;0;45;1;2
"2510";31;1;133770;12;1;2;4;2;1;0;0;50;1;2
"2511";42;1;209392;9;2;13;4;5;1;0;0;35;1;1
"2512";70;1;262345;10;3;9;4;1;0;0;0;6;1;1
"2513";47;1;277545;13;1;9;3;2;1;0;0;40;NA;2
"2514";47;NA;174525;9;1;NA;3;1;1;3942;0;40;NA;1
"2515";29;1;490332;10;1;11;3;1;1;0;0;45;1;2
"2516";27;1;211570;7;3;7;5;5;1;0;0;40;1;1
"2517";25;1;374918;8;1;3;1;1;0;0;0;40;1;1
"2518";51;1;106728;13;1;5;3;1;1;5178;0;60;1;2
"2519";28;1;173649;9;3;3;2;5;0;0;0;40;NA;1
"2520";35;1;174597;13;1;2;3;1;1;0;0;40;1;1
"2521";36;2;233533;10;1;2;3;1;1;0;0;60;1;2
"2522";54;NA;169785;14;3;NA;4;1;0;0;0;40;1;1
"2523";46;1;133169;11;1;2;3;1;1;0;0;40;1;1
"2524";52;1;198824;11;4;3;6;1;0;0;0;35;1;1
"2525";65;1;174056;4;1;8;3;1;1;0;0;40;1;1
"2526";43;1;188696;11;2;8;4;1;1;0;0;40;1;1
"2527";41;5;90692;9;2;6;6;2;0;0;0;40;1;1
"2528";34;1;271933;13;3;5;5;1;0;0;1741;45;1;1
"2529";47;2;102359;13;1;5;3;1;1;0;0;30;1;1
"2530";49;4;213668;14;3;5;4;1;1;0;0;56;1;2
"2531";21;1;294789;10;3;3;4;1;0;0;0;25;1;1
"2532";20;1;157599;10;3;3;4;1;0;0;0;25;1;1
"2533";18;5;134935;8;3;13;2;1;1;0;0;40;1;1
"2534";27;1;466224;10;3;4;4;5;1;0;0;40;1;1
"2535";34;2;111985;9;1;2;3;1;1;0;0;50;1;1
"2536";38;1;264627;10;2;9;6;1;0;0;0;40;1;1
"2537";24;1;213427;9;3;9;4;1;1;0;0;40;1;1
"2538";34;1;279015;10;3;4;4;1;1;0;0;65;1;1
"2539";47;1;165937;9;1;8;3;1;1;0;0;50;1;2
"2540";27;4;188343;9;4;5;6;5;0;0;0;40;1;1
"2541";63;1;158609;11;5;9;6;1;0;0;0;8;1;1
"2542";34;1;193036;10;1;9;3;5;1;0;0;40;1;2
"2543";25;1;198632;10;6;4;4;1;1;0;0;50;1;1
"2544";54;1;175912;9;5;8;6;1;1;914;0;40;1;1
"2545";19;NA;192773;10;3;NA;2;1;0;0;0;35;1;1
"2546";35;1;101387;9;2;4;4;1;0;0;0;50;1;1
"2547";24;1;60783;10;1;11;3;1;1;0;0;70;1;2
"2548";26;1;183224;10;3;9;2;2;0;0;0;35;1;1
"2549";59;5;100776;11;2;9;4;1;0;0;0;40;1;1
"2550";43;1;57600;16;6;6;4;1;0;0;0;40;NA;1
"2551";20;1;174063;10;3;3;2;1;0;0;0;40;1;1
"2552";41;1;306495;9;1;10;3;1;1;0;0;40;1;1
"2553";51;1;249741;10;1;4;3;1;1;0;0;40;1;1
"2554";27;1;93021;9;3;9;6;4;0;0;0;40;1;1
"2555";36;1;49626;9;1;5;3;1;1;0;0;40;1;1
"2556";25;1;63062;10;3;10;2;1;1;0;0;60;1;1
"2557";55;1;320835;13;1;4;3;1;1;0;0;50;1;2
"2558";22;5;123727;10;3;6;4;1;0;0;0;21;1;1
"2559";58;6;110517;16;1;6;3;2;1;4064;0;40;8;1
"2560";43;1;149670;10;1;9;1;1;0;4064;0;15;1;1
"2561";39;1;172425;11;1;9;1;1;0;0;0;20;1;2
"2562";40;1;216116;5;3;8;6;5;0;0;0;40;29;1
"2563";46;1;174209;9;2;5;4;1;1;0;0;45;1;1
"2564";54;4;175083;9;3;9;6;1;0;0;0;20;1;1
"2565";19;1;129059;10;3;4;2;5;1;0;0;30;1;1
"2566";24;1;121313;9;1;9;3;1;1;0;0;40;1;1
"2567";53;NA;181317;9;1;NA;3;1;1;0;0;40;1;1
"2568";24;6;166851;14;3;6;4;1;1;0;0;13;1;1
"2569";29;2;29616;9;3;10;2;1;1;0;0;65;1;1
"2570";56;3;105582;10;1;5;3;1;1;7688;0;50;1;2
"2571";54;NA;124993;9;1;NA;3;1;1;0;0;40;1;2
"2572";21;NA;148509;10;3;NA;4;1;0;0;0;30;1;1
"2573";34;1;230246;5;4;2;4;1;1;0;0;40;NA;1
"2574";56;1;117881;7;2;8;4;1;0;0;0;40;1;1
"2575";34;1;203408;13;1;6;3;1;1;7688;0;50;1;2
"2576";19;1;446219;6;3;4;6;5;0;0;0;40;1;1
"2577";32;3;110331;9;1;4;3;1;1;0;0;65;1;2
"2578";48;1;207946;9;2;9;6;1;0;0;0;52;1;1
"2579";67;NA;45537;14;1;NA;3;5;1;0;0;40;1;2
"2580";47;1;188330;9;1;11;3;1;1;0;0;25;1;1
"2581";52;1;147629;9;1;11;3;1;1;0;0;60;1;2
"2582";40;1;153799;2;6;8;6;1;0;0;0;40;25;1
"2583";28;1;203776;6;1;2;3;1;1;0;0;50;1;1
"2584";41;1;168071;13;1;5;3;1;1;7298;0;50;1;2
"2585";57;1;348430;2;2;2;6;1;1;0;0;40;22;1
"2586";51;1;103407;9;2;9;4;1;0;0;0;40;1;1
"2587";26;NA;152046;7;3;NA;4;1;0;0;0;35;6;1
"2588";36;1;153205;13;1;6;3;2;1;0;0;45;NA;1
"2589";33;1;326104;10;1;5;3;1;1;0;0;50;1;2
"2590";46;1;238162;13;1;2;3;1;1;0;0;45;1;2
"2591";50;1;221336;9;2;9;5;2;0;0;0;40;16;1
"2592";33;1;180656;10;6;2;4;1;1;0;0;40;NA;1
"2593";77;2;145329;9;3;8;4;1;1;401;0;20;1;1
"2594";39;1;315776;14;3;5;4;5;1;8614;0;52;1;2
"2595";67;NA;150516;9;5;NA;6;1;1;0;0;3;1;1
"2596";35;1;325802;12;2;7;6;1;0;0;0;24;1;1
"2597";23;1;133985;6;3;2;2;5;0;0;0;40;1;1
"2598";37;1;269329;11;2;6;4;1;0;8614;0;45;1;2
"2599";41;1;183203;9;1;11;3;1;1;0;0;50;1;2
"2600";60;1;76127;12;1;9;3;1;1;0;0;35;1;2
"2601";32;1;195891;13;3;9;4;1;1;0;0;55;1;1
"2602";56;4;162137;9;1;11;3;3;1;0;0;40;1;1
"2603";45;6;37672;11;2;1;6;1;0;0;0;40;1;1
"2604";24;1;161708;9;2;5;4;1;0;0;0;45;1;2
"2605";18;1;80616;6;3;7;2;1;1;0;0;27;1;1
"2606";31;1;209276;9;1;3;3;4;1;0;0;40;1;1
"2607";21;NA;34443;10;3;NA;2;1;1;0;0;50;1;1
"2608";45;1;192835;13;1;5;3;1;1;0;1977;55;1;2
"2609";23;1;203240;10;3;3;4;1;0;0;0;40;1;1
"2610";45;6;102308;10;1;5;3;1;1;0;0;40;1;1
"2611";18;1;40829;7;3;4;5;3;0;0;0;25;1;1
"2612";25;1;60726;9;1;11;3;5;1;0;0;30;1;1
"2613";31;6;116677;9;1;4;3;1;1;0;0;40;1;1
"2614";19;1;57067;9;3;8;5;1;1;0;0;45;1;1
"2615";41;1;304906;13;1;5;3;1;1;0;0;40;1;2
"2616";74;1;101590;15;5;9;4;5;0;0;0;20;1;1
"2617";27;1;258102;3;3;11;4;1;1;0;0;40;21;1
"2618";23;1;241185;9;3;9;4;1;0;0;0;40;1;1
"2619";31;1;124827;11;1;4;3;1;1;0;0;40;1;2
"2620";40;3;76625;9;1;7;3;1;1;0;0;40;1;1
"2621";41;4;263339;9;1;11;3;1;1;0;0;40;1;2
"2622";25;1;135645;14;3;4;4;1;1;0;0;20;1;1
"2623";42;1;245626;9;1;2;3;3;1;0;0;60;1;1
"2624";24;1;210781;13;3;2;4;1;0;0;0;40;1;1
"2625";42;1;235786;12;1;2;3;1;1;0;0;50;1;2
"2626";45;2;160167;6;1;2;3;1;1;0;0;70;1;1
"2627";52;4;30731;9;1;5;3;1;1;7298;0;40;1;2
"2628";34;1;314375;11;2;2;4;1;1;0;0;40;1;1
"2629";32;1;81528;9;3;7;5;1;1;0;0;60;1;1
"2630";54;1;182854;9;1;2;3;1;1;0;0;45;1;1
"2631";42;4;296798;7;3;1;4;1;1;0;1340;40;1;1
"2632";32;1;194426;13;1;1;3;1;1;15024;0;40;1;2
"2633";40;NA;70645;10;1;NA;1;1;0;0;0;20;1;1
"2634";55;3;141807;13;1;4;3;1;1;0;0;60;1;2
"2635";66;NA;112871;7;3;NA;4;1;1;0;0;30;1;1
"2636";52;6;71344;14;1;6;3;1;1;0;0;40;1;1
"2637";21;6;341410;10;3;9;4;1;0;0;0;15;1;1
"2638";33;1;118941;13;1;5;1;1;0;0;0;40;1;2
"2639";52;NA;159755;11;1;NA;3;1;1;0;0;50;1;2
"2640";28;1;128509;3;3;8;4;1;0;0;0;40;NA;1
"2641";27;2;229125;7;1;2;3;1;1;0;0;40;1;1
"2642";42;5;142756;13;2;6;4;1;0;0;0;50;1;1
"2643";27;3;243871;10;3;9;2;1;0;0;0;45;1;1
"2644";47;1;213140;11;1;2;3;1;1;7688;0;40;1;2
"2645";19;1;196857;9;3;3;4;1;0;0;0;40;1;1
"2646";46;1;138626;10;1;2;3;1;1;0;0;40;1;1
"2647";55;2;161334;9;5;3;4;1;0;0;0;25;33;1
"2648";50;1;273536;4;1;4;3;4;1;0;0;49;25;1
"2649";32;1;115631;10;3;9;4;1;0;4101;0;50;1;1
"2650";28;1;185957;9;1;9;1;1;0;0;0;40;1;1
"2651";23;1;334357;9;3;9;2;5;0;0;0;40;1;1
"2652";43;1;96102;14;6;5;4;1;1;0;0;50;1;1
"2653";34;1;213226;13;1;6;3;1;1;0;0;40;14;2
"2654";19;1;115248;10;3;9;4;2;1;0;0;40;20;1
"2655";37;1;185061;10;1;5;3;2;1;0;0;55;1;1
"2656";27;1;147638;13;3;9;5;2;0;0;0;40;40;1
"2657";18;1;280298;9;3;4;2;1;0;0;0;24;1;1
"2658";31;1;163516;10;5;9;6;1;0;0;0;40;1;1
"2659";49;1;277434;9;1;11;3;1;1;0;0;50;1;1
"2660";26;4;206983;15;1;6;3;1;1;0;0;60;30;1
"2661";48;1;108993;9;1;2;3;1;1;0;0;45;1;2
"2662";39;1;288551;9;1;2;3;5;1;0;0;40;1;1
"2663";41;1;176069;9;4;8;6;1;0;0;0;40;1;1
"2664";48;6;183486;11;2;6;6;1;0;0;0;56;1;2
"2665";40;1;163215;13;2;5;4;1;0;10520;0;40;1;2
"2666";70;1;94692;13;1;4;3;1;1;0;0;70;1;2
"2667";20;1;118462;9;3;7;2;1;1;0;0;43;1;1
"2668";38;1;407068;3;1;3;3;1;1;0;0;75;21;1
"2669";37;2;243587;10;4;3;2;1;0;0;0;40;13;1
"2670";49;1;23074;10;5;5;4;1;0;0;0;40;1;2
"2671";51;1;237735;9;1;7;3;1;1;3103;0;40;1;2
"2672";43;1;188291;2;3;4;2;1;1;0;0;40;1;1
"2673";38;1;284166;15;3;6;4;1;1;0;0;50;1;1
"2674";18;NA;423460;7;3;NA;2;1;1;0;0;36;1;1
"2675";23;1;287681;4;3;3;4;1;1;0;0;25;21;1
"2676";34;1;509364;9;1;2;3;1;1;0;0;40;1;1
"2677";62;NA;139391;10;1;NA;3;1;1;0;0;24;1;1
"2678";33;1;91964;10;3;9;6;1;1;0;0;40;1;1
"2679";31;1;117526;10;3;10;4;1;0;0;0;45;1;1
"2680";64;1;91343;10;5;1;6;1;0;0;0;40;1;1
"2681";26;5;336969;13;1;6;3;1;1;0;0;28;37;1
"2682";55;1;255364;10;1;6;3;1;1;0;0;40;1;1
"2683";61;5;167670;13;6;6;4;1;1;0;0;40;1;1
"2684";37;1;211494;9;1;1;3;1;1;0;0;40;1;2
"2685";78;5;136198;13;1;5;3;1;1;0;0;15;1;1
"2686";27;4;409815;10;3;9;6;5;0;0;0;40;1;1
"2687";49;1;188823;9;2;6;4;1;1;0;0;42;1;1
"2688";55;6;146326;14;1;6;3;1;1;7688;0;45;1;2
"2689";42;1;154374;13;1;11;3;1;1;0;0;58;1;1
"2690";22;NA;216563;9;3;NA;5;1;0;0;0;40;1;1
"2691";61;1;197286;5;1;2;3;1;1;0;0;40;1;1
"2692";64;2;100722;13;1;9;3;1;1;0;0;5;1;1
"2693";46;5;377622;9;1;3;3;1;1;0;0;40;1;1
"2694";24;1;145964;13;3;5;4;1;1;0;0;40;1;1
"2695";27;1;358636;10;1;2;3;1;1;2829;0;70;1;1
"2696";47;1;155489;9;1;11;3;1;1;7688;0;55;1;2
"2697";18;1;57413;10;2;3;2;1;1;0;0;15;1;1
"2698";48;1;320421;9;1;4;3;1;1;0;0;50;1;1
"2699";50;2;174752;9;2;10;4;1;1;0;0;40;1;1
"2700";40;6;229364;14;2;6;4;1;0;0;0;45;1;1
"2701";56;2;157486;6;2;4;2;1;1;0;0;40;1;1
"2702";34;1;92682;9;3;9;4;1;0;4865;0;40;1;1
"2703";56;4;101338;13;1;4;3;1;1;0;0;40;1;1
"2704";18;1;132652;7;3;3;2;1;1;0;0;20;1;1
"2705";21;1;34616;10;3;3;2;1;0;0;0;25;1;1
"2706";40;1;218903;9;2;1;6;1;0;0;0;40;1;1
"2707";27;5;204098;9;1;7;5;1;1;0;0;50;1;1
"2708";52;2;64045;15;1;6;3;1;1;99999;0;45;1;2
"2709";46;1;189763;9;2;4;4;1;0;0;0;30;1;1
"2710";23;1;26248;9;3;9;2;1;0;0;0;40;1;1
"2711";50;1;92079;10;1;1;3;1;1;0;0;45;1;2
"2712";19;1;280071;10;3;8;5;1;1;0;0;50;1;1
"2713";20;1;224059;9;3;3;4;1;1;0;0;40;1;1
"2714";39;1;185520;10;2;5;4;1;0;8614;0;40;1;2
"2715";24;1;265567;7;3;2;2;1;1;0;0;35;1;1
"2716";72;1;106890;11;5;9;4;1;0;0;0;40;1;1
"2717";42;6;39586;14;1;6;1;1;0;0;0;20;1;2
"2718";42;1;153132;13;2;4;6;1;1;0;0;45;NA;1
"2719";51;1;209912;13;2;5;4;3;1;0;0;50;1;1
"2720";39;1;144169;9;1;4;3;1;1;0;0;50;1;2
"2721";40;5;50442;10;3;9;6;3;0;2977;0;35;1;1
"2722";34;1;89644;10;1;4;3;1;1;0;0;55;1;2
"2723";19;1;275889;7;3;7;2;1;1;0;0;40;21;1
"2724";26;1;231638;9;3;5;2;1;0;0;0;40;1;1
"2725";45;5;224474;13;2;6;6;1;0;4934;0;50;1;2
"2726";28;1;355259;14;3;6;4;1;0;0;0;40;1;2
"2727";30;4;68330;13;3;6;4;1;1;0;0;40;1;2
"2728";32;1;185410;9;3;9;4;1;0;0;0;40;1;1
"2729";19;1;87653;10;3;3;2;1;0;0;0;25;1;1
"2730";21;1;286853;9;3;3;2;1;1;0;0;35;1;1
"2731";54;1;96710;9;1;12;5;5;0;0;0;20;1;1
"2732";62;1;160143;15;1;6;3;1;1;0;0;30;1;2
"2733";25;1;186925;10;3;3;4;1;1;2597;0;48;1;1
"2734";49;3;109705;10;2;5;6;1;0;0;0;32;1;1
"2735";32;1;94235;9;1;2;3;1;1;0;0;40;1;2
"2736";26;1;225279;10;3;6;4;1;1;0;1602;40;NA;1
"2737";37;5;297449;9;1;13;3;1;1;0;0;40;1;2
"2738";58;1;205896;9;2;4;5;1;0;0;0;40;1;1
"2739";37;1;93717;10;1;9;1;1;0;7298;0;45;1;2
"2740";41;1;194710;9;3;5;4;1;0;0;0;40;1;1
"2741";38;1;236391;13;1;5;3;1;1;7688;0;40;1;2
"2742";47;6;189123;9;1;3;3;1;1;0;0;40;1;1
"2743";42;1;358677;9;2;3;6;5;1;0;0;35;1;1
"2744";30;6;199539;9;1;9;3;1;1;0;1902;40;1;1
"2745";43;1;128170;10;1;4;3;1;1;7688;0;40;1;2
"2746";34;1;231238;9;1;8;3;5;1;0;0;40;1;1
"2747";57;1;296152;10;2;5;5;1;0;594;0;10;1;1
"2748";46;1;166003;7;1;8;3;1;1;0;0;40;1;1
"2749";32;1;281437;10;1;11;3;1;1;0;0;55;1;1
"2750";20;1;190231;5;3;8;2;1;0;0;0;11;33;1
"2751";47;1;122026;11;2;4;4;1;1;0;0;50;1;1
"2752";55;NA;205527;9;2;NA;4;1;1;0;0;20;1;1
"2753";53;2;174102;4;1;5;3;1;1;4386;0;50;10;2
"2754";43;1;125461;13;1;4;3;1;1;0;0;65;1;2
"2755";80;2;184335;4;1;10;3;1;1;0;0;30;1;1
"2756";24;1;211345;10;3;3;2;1;0;0;0;40;21;1
"2757";43;5;147328;14;1;5;3;1;1;0;1977;60;1;2
"2758";22;1;222993;9;3;7;2;1;1;0;0;40;1;1
"2759";40;1;225978;10;4;5;4;5;1;0;0;40;1;1
"2760";48;1;121124;9;1;5;3;1;1;0;0;50;1;2
"2761";56;NA;656036;9;1;NA;3;1;1;0;0;25;1;1
"2762";34;NA;346762;7;2;NA;2;1;1;0;0;84;1;1
"2763";51;1;234057;9;1;2;3;1;1;0;0;45;1;2
"2764";24;4;306515;9;3;9;4;1;0;0;0;40;1;1
"2765";19;1;116562;9;3;3;2;1;0;0;0;40;1;1
"2766";34;1;171159;10;2;9;6;1;0;0;0;30;1;1
"2767";24;1;199011;9;3;2;2;1;1;0;0;40;1;1
"2768";41;1;443508;13;1;11;3;1;1;0;0;48;5;2
"2769";24;1;29810;9;2;4;4;1;0;0;0;38;1;1
"2770";22;5;238831;10;3;13;2;1;1;0;0;40;1;1
"2771";32;4;566117;10;2;9;6;1;0;0;0;40;1;1
"2772";41;1;255044;13;2;5;4;1;0;0;0;55;1;1
"2773";20;1;436253;10;3;3;2;1;1;0;0;35;1;1
"2774";31;1;300687;9;3;3;4;5;1;0;0;40;1;1
"2775";55;1;144071;13;1;1;3;1;1;0;0;18;1;2
"2776";49;6;133917;16;1;6;3;5;1;0;1902;60;NA;2
"2777";26;1;188767;13;3;4;2;1;1;0;0;40;1;1
"2778";27;2;300777;9;2;11;4;1;1;0;0;70;1;1
"2779";35;1;26987;9;4;9;4;1;0;0;0;40;1;1
"2780";40;1;174395;9;2;3;4;1;1;0;0;60;10;1
"2781";59;1;90290;10;1;6;3;1;1;0;0;34;1;1
"2782";61;1;183735;10;1;4;3;1;1;0;0;45;1;2
"2783";31;1;123273;9;3;4;2;5;0;0;0;40;1;1
"2784";43;4;186916;14;2;13;4;1;1;0;0;60;1;2
"2785";61;1;43554;3;3;7;4;5;1;0;2339;40;1;1
"2786";54;1;178251;12;5;9;6;1;0;0;0;30;1;1
"2787";30;1;255885;10;1;4;3;1;1;0;0;50;1;1
"2788";20;1;64292;10;3;4;4;1;0;0;0;50;1;1
"2789";27;6;194773;14;3;6;4;1;0;0;0;50;6;1
"2790";44;3;133060;10;2;8;4;1;1;0;0;60;1;1
"2791";64;1;258006;10;5;9;4;1;0;0;0;40;13;1
"2792";55;1;92215;9;2;9;4;1;0;0;0;40;1;1
"2793";34;1;33945;9;2;2;4;1;1;6849;0;55;1;1
"2794";61;1;153048;9;5;4;4;1;0;0;0;35;1;1
"2795";28;1;192200;13;1;6;3;1;1;0;0;40;NA;1
"2796";34;1;355571;9;2;8;6;5;0;0;0;40;1;1
"2797";47;3;139268;15;1;6;3;1;1;0;1977;60;1;2
"2798";26;1;34402;13;3;9;4;1;1;0;0;45;1;1
"2799";35;1;25955;7;3;3;6;3;1;0;0;40;1;1
"2800";36;1;209609;13;1;6;3;1;1;0;0;38;1;1
"2801";47;1;168283;13;1;6;3;1;1;0;0;40;1;2
"2802";17;1;295488;7;3;3;2;5;0;0;0;25;1;1
"2803";35;1;190895;10;1;6;3;1;1;0;0;60;1;1
"2804";33;1;164190;14;3;6;2;1;1;0;0;20;1;1
"2805";25;1;216010;12;1;9;1;1;0;0;0;40;1;1
"2806";18;1;387568;6;3;4;2;1;1;0;0;10;1;1
"2807";47;6;188386;14;4;6;4;1;1;0;0;38;1;1
"2808";44;1;174491;9;5;3;6;5;0;0;0;30;1;1
"2809";41;1;31221;9;2;3;6;1;0;0;0;30;1;1
"2810";30;1;272451;13;3;9;4;1;0;0;0;40;1;1
"2811";53;2;152652;10;1;10;3;1;1;0;0;50;1;1
"2812";53;1;104413;9;5;3;6;5;0;0;0;20;1;1
"2813";40;1;105936;9;1;4;1;1;0;5013;0;20;1;1
"2814";24;1;379066;10;3;9;4;1;1;0;2205;24;1;1
"2815";27;1;214858;13;3;4;2;1;1;0;0;40;1;1
"2816";50;1;237735;3;1;11;3;1;1;0;0;37;21;1
"2817";36;1;158592;7;1;2;3;1;1;0;0;50;1;1
"2818";41;1;237321;2;1;8;3;1;1;0;0;40;21;2
"2819";41;1;23646;14;3;6;4;1;0;0;0;40;1;1
"2820";31;1;169240;9;3;3;4;1;0;0;0;40;1;1
"2821";32;4;454508;13;1;5;3;1;1;0;0;40;1;1
"2822";22;1;130356;10;3;8;2;1;1;0;0;48;1;1
"2823";22;1;427686;6;2;2;2;1;1;0;0;40;1;1
"2824";18;5;36411;8;3;6;2;1;1;0;0;30;1;1
"2825";39;1;548510;13;1;6;3;5;1;0;0;30;1;1
"2826";38;1;187264;9;1;5;1;1;0;0;0;55;1;1
"2827";35;6;140752;9;1;2;3;1;1;0;0;40;1;1
"2828";23;1;325596;10;3;8;4;1;1;0;0;40;1;1
"2829";54;2;175804;13;1;5;3;1;1;0;0;40;1;2
"2830";36;1;107302;14;1;6;3;1;1;0;0;60;1;2
"2831";63;5;41161;9;1;5;3;1;1;0;0;55;1;1
"2832";39;1;401832;10;1;5;3;1;1;0;0;48;1;1
"2833";57;2;353808;10;1;4;3;1;1;0;0;60;1;2
"2834";58;3;349910;15;1;6;3;1;1;0;1977;50;1;2
"2835";29;1;161478;13;3;9;4;2;0;0;0;40;9;1
"2836";17;1;400225;7;3;4;2;1;0;0;0;20;1;1
"2837";40;1;367533;9;2;2;4;1;1;0;0;40;1;1
"2838";69;2;69306;10;1;3;1;1;0;0;0;15;1;1
"2839";28;1;270366;6;2;4;4;1;0;0;0;40;1;1
"2840";38;1;103751;5;1;2;3;1;1;0;0;40;1;1
"2841";44;1;75227;15;3;6;4;1;1;14084;0;40;1;2
"2842";45;5;132563;15;2;6;6;5;0;0;1726;40;1;1
"2843";33;6;79580;13;1;9;3;5;1;0;0;40;1;1
"2844";41;5;344624;10;1;3;3;1;1;0;1485;40;1;2
"2845";37;3;186359;9;1;4;3;1;1;7688;0;60;1;2
"2846";50;1;121685;10;1;4;3;1;1;0;0;45;1;2
"2847";48;1;75104;13;1;6;3;1;1;0;0;50;1;1
"2848";26;NA;188343;9;3;NA;6;5;0;0;0;40;1;1
"2849";36;1;246449;10;1;5;3;1;1;0;0;60;1;2
"2850";21;1;85088;10;3;3;2;1;0;0;0;37;1;1
"2851";37;1;545483;12;1;10;3;1;1;0;0;40;1;1
"2852";20;6;243986;10;3;6;2;1;0;0;0;20;1;1
"2853";54;2;32778;9;1;4;1;1;0;0;0;30;1;1
"2854";28;1;369114;9;4;4;5;1;0;0;0;40;1;1
"2855";27;1;217200;10;3;6;4;1;1;0;0;40;1;1
"2856";33;1;149220;11;3;3;6;5;0;0;0;40;1;1
"2857";46;NA;162034;9;1;NA;3;1;1;0;0;40;1;1
"2858";28;NA;157813;7;2;NA;6;1;0;0;0;58;5;1
"2859";17;NA;179715;6;3;NA;2;1;1;0;0;40;1;1
"2860";40;2;335549;15;3;6;4;1;1;0;2444;45;1;2
"2861";47;1;102308;14;1;4;3;1;1;0;0;40;1;2
"2862";44;1;367749;2;3;8;4;1;0;0;0;40;37;1
"2863";25;1;98281;8;3;7;6;1;1;0;0;43;1;1
"2864";35;1;115792;13;1;6;3;1;1;0;0;55;1;1
"2865";29;1;277788;10;1;4;1;1;0;0;0;25;1;1
"2866";30;1;103435;9;2;8;6;1;1;0;0;40;1;1
"2867";30;1;37646;10;1;7;3;1;1;0;0;40;1;1
"2868";56;2;385632;4;2;3;6;1;0;0;0;40;1;1
"2869";25;2;210278;13;3;6;2;1;1;0;0;30;1;1
"2870";28;1;335357;9;3;7;2;5;1;0;0;40;1;1
"2871";43;2;272165;5;1;2;3;1;1;0;0;40;1;1
"2872";47;5;148995;9;1;13;3;1;1;0;0;60;1;2
"2873";46;2;113434;13;1;2;3;1;1;0;0;40;1;1
"2874";41;6;132551;14;2;6;6;1;0;0;0;35;1;1
"2875";38;4;115433;12;1;9;1;1;0;7688;0;33;1;2
"2876";29;1;227890;9;3;13;5;5;1;0;0;40;1;1
"2877";25;1;503012;3;3;2;4;1;1;0;0;40;21;1
"2878";56;1;250873;7;1;2;3;1;1;0;0;45;1;1
"2879";31;1;407930;4;1;7;3;1;1;0;0;40;1;1
"2880";22;1;148187;7;3;3;5;1;1;0;0;40;1;1
"2881";31;1;159322;9;3;7;5;1;1;0;0;40;1;1
"2882";28;1;334368;10;4;9;4;1;0;0;0;40;1;1
"2883";53;1;196328;13;1;5;3;5;1;0;0;40;1;1
"2884";45;1;270842;14;2;5;4;1;0;0;0;50;1;2
"2885";71;1;235079;1;5;2;6;5;1;0;0;10;1;1
"2886";65;NA;327154;9;5;NA;6;1;0;0;0;40;1;1
"2887";39;1;188391;9;1;2;3;1;1;7298;0;50;1;2
"2888";19;4;30559;9;7;4;1;1;0;0;0;40;1;1
